company,title,totalyearlycompensation,location,yearsofexperience,yearsatcompany,basesalary,bonus,Masters_Degree,Bachelors_Degree,Doctorate_Degree,Highschool,Some_College,Apple
Amazon,Data Scientist,260000,"Palo Alto, CA",3.0,1.0,160000.0,0.0,0,0,0,0,0,False
Amazon,Product Manager,144000,"Seattle, WA",5.0,1.5,96000.0,15000.0,0,0,0,0,0,False
Amazon,Product Manager,210000,"Seattle, WA",10.0,1.0,149000.0,25000.0,0,0,0,0,0,False
Amazon,Software Engineer,170000,"Minneapolis, MN",1.0,1.0,108000.0,34000.0,0,0,0,0,0,False
Amazon,Data Scientist,300000,"Sunnyvale, CA",1.0,3.0,180000.0,20000.0,0,0,0,0,0,False
Amazon,Software Engineer,170000,"New York, NY",0.0,0.0,0.0,0.0,0,0,0,0,0,False
Amazon,Product Manager,189000,"Seattle, WA",5.0,1.0,130000.0,35000.0,0,0,0,0,0,False
Amazon,Software Engineer,215000,"Seattle, WA",6.0,0.0,140000.0,32000.0,0,0,0,0,0,False
Amazon,Product Manager,320000,"Seattle, WA",10.0,5.0,0.0,0.0,0,0,0,0,0,False
Amazon,Product Manager,320000,"Seattle, WA",10.0,5.0,0.0,0.0,0,0,0,0,0,False
Amazon,Business Analyst,93000,"Seattle, WA",7.0,2.0,72000.0,9000.0,0,0,0,0,0,False
Amazon,Product Designer,220000,"Seattle, WA",10.0,1.0,155000.0,45000.0,0,0,0,0,0,False
Amazon,Product Manager,155000,"Luxembourg, LU, Luxembourg",9.0,2.0,0.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,250000,"Seattle, WA",3.0,2.0,0.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,192000,"Seattle, WA",3.0,3.0,139000.0,0.0,0,0,0,0,0,False
Amazon,Solution Architect,120000,"Seattle, WA",10.0,3.0,115000.0,12000.0,0,0,0,0,0,False
Amazon,Product Manager,350000,"Seattle, WA",9.0,5.0,0.0,0.0,0,0,0,0,0,False
Amazon,Product Manager,295000,"Seattle, WA",17.0,3.0,0.0,0.0,0,0,0,0,0,False
Amazon,Product Manager,214000,"Seattle, WA",5.0,2.0,142000.0,40000.0,0,0,0,0,0,False
Amazon,Product Manager,203000,"Seattle, WA",4.0,0.0,142000.0,23000.0,0,0,0,0,0,False
Amazon,Software Engineer,190000,"Seattle, WA",2.0,2.0,131000.0,0.0,0,0,0,0,0,False
Amazon,Product Manager,233000,"Seattle, WA",11.0,4.5,121000.0,0.0,0,0,0,0,0,False
Amazon,Solution Architect,300000,"San Diego, CA",16.0,16.0,0.0,0.0,0,0,0,0,0,False
Amazon,Business Analyst,124000,"Seattle, WA",10.0,2.0,100000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineering Manager,620000,"Seattle, WA",20.0,4.0,0.0,0.0,0,0,0,0,0,False
Amazon,Software Engineering Manager,400000,"Seattle, WA",23.0,1.0,0.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,429000,"Seattle, WA",21.0,2.0,160000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,281000,"New York, NY",4.0,1.0,166000.0,40000.0,0,0,0,0,0,False
Amazon,Product Manager,250000,"Seattle, WA",12.0,5.0,150000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,160000,"Cambridge, EN, United Kingdom",1.0,1.0,0.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,340000,"Herndon, VA",13.0,3.0,180000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,230000,"Seattle, WA",3.0,3.0,130000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,154000,"Seattle, WA",2.0,1.0,0.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,104000,"Seattle, WA",1.0,1.0,0.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,125000,"Seattle, WA",10.0,1.0,111000.0,4000.0,0,0,0,0,0,False
Amazon,Software Engineer,230000,"Seattle, WA",5.0,3.0,141000.0,0.0,0,0,0,0,0,False
